"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 28 04:42:44 UTC 2026","Tue Jul 28 04:42:44 UTC 2026","259","tests","test_parameterized","TestParametrizedUsers","","","Fetch User ID #1 - Expected: Leanne Graham","Runs test cases sequentially across multiple user IDs."
"passed","Tue Jul 28 04:42:45 UTC 2026","Tue Jul 28 04:42:45 UTC 2026","269","tests","test_parameterized","TestParametrizedUsers","","","Create User: Alex (DevOps Engineer)","Tests user creation across varied roles and names."
"passed","Mon Jul 27 09:56:34 UTC 2026","Mon Jul 27 09:56:34 UTC 2026","280","tests","test_curd","","","","test_delete_user_sucess","Verifies user deletion using Delete"
"passed","Tue Jul 28 04:42:46 UTC 2026","Tue Jul 28 04:42:46 UTC 2026","274","tests","test_parameterized","TestParametrizedUsers","","","Create User: Sam (QA Lead)","Tests user creation across varied roles and names."
"passed","Mon Jul 27 09:56:30 UTC 2026","Mon Jul 27 09:56:31 UTC 2026","857","tests","test_curd","","","","test_put_full_user_update","Verifies full replacement of user data using PUT"
"passed","Mon Jul 27 09:56:33 UTC 2026","Mon Jul 27 09:56:34 UTC 2026","703","tests","test_curd","","","","test_patch_partial_user_update","Verifies updating only a single field using PATCH"
"passed","Tue Jul 28 04:42:45 UTC 2026","Tue Jul 28 04:42:45 UTC 2026","279","tests","test_parameterized","TestParametrizedUsers","","","Fetch User ID #3 - Expected: Clementine Bauch","Runs test cases sequentially across multiple user IDs."
"passed","Tue Jul 28 04:42:44 UTC 2026","Tue Jul 28 04:42:45 UTC 2026","237","tests","test_parameterized","TestParametrizedUsers","","","Fetch User ID #2 - Expected: Ervin Howell","Runs test cases sequentially across multiple user IDs."
"passed","Tue Jul 28 04:42:44 UTC 2026","Tue Jul 28 04:42:44 UTC 2026","285","tests","test_curd","TestUserCRUD","","","test_delete_user_success","Verifies user deletion using DELETE."
"passed","Tue Jul 28 04:42:43 UTC 2026","Tue Jul 28 04:42:44 UTC 2026","490","tests","test_curd","TestUserCRUD","","","test_patch_partial_user_update","Verifies updating only specific feilds using PATCH"
"passed","Tue Jul 28 04:42:45 UTC 2026","Tue Jul 28 04:42:46 UTC 2026","273","tests","test_parameterized","TestParametrizedUsers","","","Create User: Maya (Data Analyst)","Tests user creation across varied roles and names."
"passed","Tue Jul 28 04:42:45 UTC 2026","Tue Jul 28 04:42:45 UTC 2026","295","tests","test_parameterized","TestParametrizedUsers","","","Create User: Saransh (Automation Engineer)","Tests user creation across varied roles and names."
"passed","Tue Jul 28 04:42:42 UTC 2026","Tue Jul 28 04:42:43 UTC 2026","896","tests","test_curd","TestUserCRUD","","","test_put_full_user_update","Verifies full replacement of user data using PUT"
